"variable","level","n","disease_rate"
"sex","Female",4269,0.247
"sex","Male",4731,0.354
"chest_pain_type","Asymptomatic",4265,0.254
"chest_pain_type","Non-Anginal Pain",2141,0.278
"chest_pain_type","Atypical Angina",1576,0.355
"chest_pain_type","Typical Angina",1018,0.479
"exercise_induced_angina","No",6938,0.191
"exercise_induced_angina","Yes",2062,0.678
"family_history","No",6548,0.283
"family_history","Yes",2452,0.356
"smoker_status","Never",4980,0.252
"smoker_status","Former",2448,0.303
"smoker_status","Current",1572,0.464
"wearable_owner","No",5015,0.342
"wearable_owner","Yes",3985,0.254
"bmi_category","Underweight",549,0.158
"bmi_category","Normal",3671,0.227
"bmi_category","Overweight",3517,0.344
"bmi_category","Obese",1263,0.472
"bp_category","Normal",2093,0.17
"bp_category","Elevated",1365,0.253
"bp_category","Hypertension stage 1",3015,0.304
"bp_category","Hypertension stage 2",2527,0.439
"glycemic_status","Normal",3770,0.207
"glycemic_status","Prediabetic",3698,0.337
"glycemic_status","Diabetic",1532,0.456
"age_group","18-34",592,0.095
"age_group","35-49",2711,0.18
"age_group","50-64",3797,0.319
"age_group","65+",1900,0.511
"meets_activity_guideline","No",5097,0.381
"meets_activity_guideline","Yes",3903,0.201
