"variable","n","mean","sd","cv","min","q1","median","q3","max","iqr","skewness","excess_kurtosis"
"age",9000,53.977,13.008,0.241,18,45,54,63,90,18,-0.022,-0.207
"resting_bp_systolic",9000,127.85,13.767,0.108,85,119,128,137,181,18,0.068,0.028
"resting_bp_diastolic",9000,80.789,10.94,0.135,50,74,81,88,126,14,0.009,-0.081
"cholesterol_total",9000,188.754,32.272,0.171,90,167,189,211,314,44,0.004,-0.029
"hdl",9000,55.215,12.394,0.224,18,47,55,64,110,17,0.02,-0.033
"ldl",9000,103.276,27.342,0.265,35,85,103,122,207,37,0.045,-0.1
"triglycerides",9000,152.045,51.448,0.338,35,117,151,186,390,69,0.126,-0.026
"fasting_blood_sugar",9000,119.47,22.778,0.191,60,104,119,135,204,31,0.041,-0.142
"hba1c",9000,5.792,0.693,0.12,4,5.3,5.8,6.3,8.6,1,0.029,-0.077
"bmi",9000,25.265,4.372,0.173,15,22.3,25.3,28.2,43.3,5.9,0.092,-0.124
"resting_heart_rate",9000,80.913,8.605,0.106,48,75,81,87,111,12,-0.019,-0.018
"max_heart_rate_achieved",9000,164.838,21.291,0.129,93,150,166,180,210,30,-0.185,-0.369
"st_depression",9000,1.013,0.957,0.945,0,0.4,0.7,1.4,6.5,1,2.04,5.601
"alcohol_units_per_week",9000,5.709,5.071,0.888,0,2.2,4.2,7.7,45.9,5.5,2.027,6.282
"exercise_minutes_per_week",9000,139.493,63.66,0.456,0,96,139,183,366,87,0.094,-0.231
"sleep_hours",9000,6.995,1.104,0.158,3.1,6.3,7,7.7,11,1.4,-0.042,-0.032
"stress_score",9000,47.968,16.162,0.337,0,37.1,48.1,58.9,100,21.8,-0.013,-0.015
"daily_steps",9000,6163.659,2170.686,0.352,500,4658,6178,7632.75,13950,2974.75,0.025,-0.135
"diet_quality_score",9000,59.467,14.476,0.243,4.8,49.7,59.6,69.1,100,19.4,0.001,-0.078
"pulse_pressure",9000,47.061,8.84,0.188,10,41,47,53,81,12,0.021,0.002
"non_hdl_cholesterol",9000,133.538,31.062,0.233,35,113,134,154,258,41,0.012,-0.032
"cholesterol_hdl_ratio",9000,3.578,0.976,0.273,1.562,2.925,3.411,4.049,11.556,1.124,1.409,4.253
"heart_rate_reserve",9000,83.926,23.935,0.285,1,67,85,101,149,34,-0.191,-0.291
"percent_predicted_max_hr",9000,99.158,9.061,0.091,63.4,93.178,100,105.49,136.36,12.312,-0.233,-0.011
