"variable","skewness","excess_kurtosis","gof_chisq","gof_df","gof_p_value"
"stress_score",-0.013,-0.015,6.6,7,0.471
"diet_quality_score",0.001,-0.078,6.7,7,0.465
"bmi",0.092,-0.124,10.4,7,0.167
"cholesterol_total",0.004,-0.029,11.9,7,0.104
"exercise_minutes_per_week",0.094,-0.231,13.4,7,0.063
"daily_steps",0.025,-0.135,13.4,7,0.0622
"non_hdl_cholesterol",0.012,-0.032,13.6,7,0.0591
"ldl",0.045,-0.1,20.6,7,0.00448
"triglycerides",0.126,-0.026,22.8,7,0.00183
"fasting_blood_sugar",0.041,-0.142,28.4,7,0.000186
"resting_bp_systolic",0.068,0.028,81.3,7,7.43e-15
"percent_predicted_max_hr",-0.233,-0.011,83.7,7,2.41e-15
"hdl",0.02,-0.033,86.1,7,7.78e-16
"max_heart_rate_achieved",-0.185,-0.369,95.6,7,8.63e-18
"heart_rate_reserve",-0.191,-0.291,97.1,7,4.24e-18
"sleep_hours",-0.042,-0.032,116.5,7,4.11e-22
"resting_bp_diastolic",0.009,-0.081,136.2,7,3.22e-26
"age",-0.022,-0.207,169.4,7,3.32e-33
"pulse_pressure",0.021,0.002,177.1,7,7.93e-35
"hba1c",0.029,-0.077,258.3,7,4.65e-52
"resting_heart_rate",-0.019,-0.018,285.3,7,8.46e-58
"cholesterol_hdl_ratio",1.409,4.253,767.9,7,1.57e-161
"st_depression",2.04,5.601,3340.6,7,0
"alcohol_units_per_week",2.027,6.282,3744.4,7,0
