"variable","mean_no_disease","sd_no_disease","mean_disease","sd_disease","difference","std_mean_difference"
"percent_predicted_max_hr",102.66,7.18,91.09,7.68,-11.57,-1.577
"max_heart_rate_achieved",172.99,17.4,146.09,17.18,-26.9,-1.552
"heart_rate_reserve",93.03,19.58,62.98,19.47,-30.05,-1.537
"st_depression",0.79,0.67,1.53,1.27,0.74,0.831
"cholesterol_hdl_ratio",3.35,0.82,4.1,1.09,0.75,0.817
"age",51.48,12.57,59.72,12.16,8.24,0.662
"non_hdl_cholesterol",127.92,30.05,146.46,29.45,18.55,0.621
"ldl",98.46,26.45,114.35,26.13,15.89,0.603
"hdl",57.27,11.99,50.49,12.02,-6.78,-0.565
"resting_bp_systolic",125.59,13.29,133.05,13.45,7.46,0.56
"exercise_minutes_per_week",149.92,62.24,115.5,60.33,-34.42,-0.558
"hba1c",5.69,0.68,6.03,0.66,0.34,0.504
"bmi",24.65,4.28,26.68,4.25,2.03,0.475
"fasting_blood_sugar",116.43,22.53,126.46,21.8,10.03,0.45
"resting_bp_diastolic",79.4,10.75,83.99,10.69,4.6,0.428
"resting_heart_rate",79.96,8.53,83.11,8.37,3.15,0.371
"cholesterol_total",185.19,31.88,196.95,31.67,11.76,0.37
"diet_quality_score",60.95,14.19,56.06,14.56,-4.89,-0.342
"daily_steps",6382.41,2161.83,5660.45,2106.76,-721.96,-0.337
"pulse_pressure",46.19,8.67,49.06,8.91,2.87,0.328
"triglycerides",148.3,50.77,160.66,51.98,12.35,0.242
"stress_score",46.92,16.05,50.37,16.17,3.45,0.214
"sleep_hours",7.03,1.08,6.91,1.16,-0.12,-0.108
"alcohol_units_per_week",5.57,4.99,6.03,5.25,0.46,0.09
